date,region,cases
2020-03-14,02 - Saguenay–Lac-Saint-Jean,0
2020-03-14,03 - Capitale Nationale,0
2020-03-14,04 - Mauricie - Centre du Québec,0
2020-03-14,05 - Estrie,1
2020-03-14,06 - Montréal,1
2020-03-14,07 - Outaouais,0
2020-03-14,08 - Abitibi-Temiscamingue,0
2020-03-14,09 - Côte-Nord,0
2020-03-14,10 - Nord-du-Québec,0
2020-03-14,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-14,12 - Chaudière-Appalaches,0
2020-03-14,13 - Laval,0
2020-03-14,14 - Lanaudière,1
2020-03-14,15 - Laurentides,0
2020-03-14,16 - Montérégie,3
2020-03-14,17 - Nunavik,0
2020-03-14,18 - Terres-Cries-de-la-Baie-James,0
2020-03-15,01 - Bas-Saint-Laurent,0
2020-03-15,02 - Saguenay–Lac-Saint-Jean,0
2020-03-15,03 - Capitale Nationale,2
2020-03-15,04 - Mauricie - Centre du Québec,2
2020-03-15,05 - Estrie,1
2020-03-15,06 - Montréal,2
2020-03-15,07 - Outaouais,0
2020-03-15,08 - Abitibi-Temiscamingue,0
2020-03-15,09 - Côte-Nord,0
2020-03-15,10 - Nord-du-Québec,0
2020-03-15,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-15,12 - Chaudière-Appalaches,2
2020-03-15,13 - Laval,0
2020-03-15,14 - Lanaudière,1
2020-03-15,15 - Laurentides,1
2020-03-15,16 - Montérégie,2
2020-03-15,17 - Nunavik,0
2020-03-15,18 - Terres-Cries-de-la-Baie-James,0
2020-03-16,01 - Bas-Saint-Laurent,0
2020-03-16,02 - Saguenay–Lac-Saint-Jean,0
2020-03-16,03 - Capitale Nationale,0
2020-03-16,04 - Mauricie - Centre du Québec,0
2020-03-16,05 - Estrie,0
2020-03-16,06 - Montréal,7
2020-03-16,07 - Outaouais,0
2020-03-16,08 - Abitibi-Temiscamingue,0
2020-03-16,09 - Côte-Nord,0
2020-03-16,10 - Nord-du-Québec,0
2020-03-16,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-16,12 - Chaudière-Appalaches,1
2020-03-16,13 - Laval,0
2020-03-16,14 - Lanaudière,1
2020-03-16,15 - Laurentides,0
2020-03-16,16 - Montérégie,1
2020-03-16,17 - Nunavik,0
2020-03-16,18 - Terres-Cries-de-la-Baie-James,0
2020-03-17,01 - Bas-Saint-Laurent,0
2020-03-17,02 - Saguenay–Lac-Saint-Jean,0
2020-03-17,03 - Capitale Nationale,1
2020-03-17,04 - Mauricie - Centre du Québec,0
2020-03-17,05 - Estrie,5
2020-03-17,06 - Montréal,4
2020-03-17,07 - Outaouais,0
2020-03-17,08 - Abitibi-Temiscamingue,0
2020-03-17,09 - Côte-Nord,0
2020-03-17,10 - Nord-du-Québec,0
2020-03-17,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-17,12 - Chaudière-Appalaches,0
2020-03-17,13 - Laval,0
2020-03-17,14 - Lanaudière,3
2020-03-17,15 - Laurentides,4
2020-03-17,16 - Montérégie,3
2020-03-17,17 - Nunavik,0
2020-03-17,18 - Terres-Cries-de-la-Baie-James,0
2020-03-18,01 - Bas-Saint-Laurent,0
2020-03-18,02 - Saguenay–Lac-Saint-Jean,0
2020-03-18,03 - Capitale Nationale,5
2020-03-18,04 - Mauricie - Centre du Québec,0
2020-03-18,05 - Estrie,9
2020-03-18,06 - Montréal,2
2020-03-18,07 - Outaouais,1
2020-03-18,08 - Abitibi-Temiscamingue,0
2020-03-18,09 - Côte-Nord,0
2020-03-18,10 - Nord-du-Québec,0
2020-03-18,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-18,12 - Chaudière-Appalaches,2
2020-03-18,13 - Laval,0
2020-03-18,14 - Lanaudière,0
2020-03-18,15 - Laurentides,1
2020-03-18,16 - Montérégie,0
2020-03-18,17 - Nunavik,0
2020-03-18,18 - Terres-Cries-de-la-Baie-James,0
2020-03-19,01 - Bas-Saint-Laurent,1
2020-03-19,02 - Saguenay–Lac-Saint-Jean,0
2020-03-19,03 - Capitale Nationale,2
2020-03-19,04 - Mauricie - Centre du Québec,0
2020-03-19,05 - Estrie,8
2020-03-19,06 - Montréal,4
2020-03-19,07 - Outaouais,0
2020-03-19,08 - Abitibi-Temiscamingue,0
2020-03-19,09 - Côte-Nord,0
2020-03-19,10 - Nord-du-Québec,0
2020-03-19,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-19,12 - Chaudière-Appalaches,0
2020-03-19,13 - Laval,1
2020-03-19,14 - Lanaudière,1
2020-03-19,15 - Laurentides,1
