date,region,cases
2020-03-25,08 - Abitibi-Temiscamingue,5
2020-03-25,09 - Côte-Nord,2
2020-03-25,10 - Nord-du-Québec,1
2020-03-25,11 - Gaspésie-Îles-de-la-Madeleine,7
2020-03-25,12 - Chaudière-Appalaches,46
2020-03-25,13 - Laval,83
2020-03-25,14 - Lanaudière,68
2020-03-25,15 - Laurentides,50
2020-03-25,16 - Montérégie,148
2020-03-25,17 - Nunavik,0
2020-03-25,18 - Terres-Cries-de-la-Baie-James,0
2020-03-26,01 - Bas-Saint-Laurent,6
2020-03-26,02 - Saguenay–Lac-Saint-Jean,11
2020-03-26,03 - Capitale Nationale,103
2020-03-26,04 - Mauricie - Centre du Québec,49
2020-03-26,05 - Estrie,187
2020-03-26,06 - Montréal,782
2020-03-26,07 - Outaouais,16
2020-03-26,08 - Abitibi-Temiscamingue,11
2020-03-26,09 - Côte-Nord,3
2020-03-26,10 - Nord-du-Québec,1
2020-03-26,11 - Gaspésie-Îles-de-la-Madeleine,7
2020-03-26,12 - Chaudière-Appalaches,58
2020-03-26,13 - Laval,95
2020-03-26,14 - Lanaudière,72
2020-03-26,15 - Laurentides,61
2020-03-26,16 - Montérégie,167
2020-03-26,17 - Nunavik,0
2020-03-26,18 - Terres-Cries-de-la-Baie-James,0
2020-03-27,01 - Bas-Saint-Laurent,7
2020-03-27,02 - Saguenay–Lac-Saint-Jean,16
2020-03-27,03 - Capitale Nationale,106
2020-03-27,04 - Mauricie - Centre du Québec,69
2020-03-27,05 - Estrie,227
2020-03-27,06 - Montréal,971
2020-03-27,07 - Outaouais,18
2020-03-27,08 - Abitibi-Temiscamingue,18
2020-03-27,09 - Côte-Nord,6
2020-03-27,10 - Nord-du-Québec,1
2020-03-27,11 - Gaspésie-Îles-de-la-Madeleine,7
2020-03-27,12 - Chaudière-Appalaches,73
2020-03-27,13 - Laval,130
2020-03-27,14 - Lanaudière,97
2020-03-27,15 - Laurentides,81
2020-03-27,16 - Montérégie,193
2020-03-27,17 - Nunavik,0
2020-03-27,18 - Terres-Cries-de-la-Baie-James,1
2020-03-28,01 - Bas-Saint-Laurent,8
2020-03-28,02 - Saguenay–Lac-Saint-Jean,18
2020-03-28,03 - Capitale Nationale,148
2020-03-28,04 - Mauricie - Centre du Québec,85
2020-03-28,05 - Estrie,253
2020-03-28,06 - Montréal,1219
2020-03-28,07 - Outaouais,26
2020-03-28,08 - Abitibi-Temiscamingue,24
2020-03-28,09 - Côte-Nord,13
2020-03-28,10 - Nord-du-Québec,1
2020-03-28,11 - Gaspésie-Îles-de-la-Madeleine,9
2020-03-28,12 - Chaudière-Appalaches,80
2020-03-28,13 - Laval,160
2020-03-28,14 - Lanaudière,126
2020-03-28,15 - Laurentides,108
2020-03-28,16 - Montérégie,219
2020-03-28,17 - Nunavik,0
2020-03-28,18 - Terres-Cries-de-la-Baie-James,1
2020-03-29,01 - Bas-Saint-Laurent,8
